Shape,Bus_Type,Status,Establishm,Trade_Name,Address,Neighborhood,City,State,ZIP,Latitude_A,Longitude_,DE_LID_Num,License_Nu
Point,Drinking Establishment Type I,Approved,"Nikko's 1054, Inc.",Nikko's,1054 Herron Avenue,Carrick,Pittsburgh,PA,15219,40.457928,-79.963723,53477,R-12194
Point,Drinking Establishment Type I,Approved,"2176 Webster, LLC",,2176 Webster Avenue,Carrick,Pittsburgh,PA,15219,40.447162,-79.977905,70001,R-10299
Point,Drinking Establishment Type I,Approved,Barbara J. Ankeney,Hotel Terrace Hall,2335-37 Centre Avenue,Carrick,Pittsburgh,PA,15219,40.445821,-79.972959,34210,H-04080
Point,Drinking Establishment Type I,Approved,"BCLT, Inc.",,1400 Fifth Avenue,Carrick,Pittsburgh,PA,15219,40.438367,-79.98631,49876,R-10019
Point,Drinking Establishment Type I,Approved,"SALTMAN, INC.",,1404 Fifth Avenue,Central Business District,Pittsburgh,PA,15219,40.438366,-79.986185,56754,R-15758
Point,Drinking Establishment Type I,Approved,"Bert's FTK, LTD.",,2037 Centre Avenue,Central Business District,Pittsburgh,PA,15219,40.444407,-79.979282,11062,R-03630
Point,Drinking Establishment Type I,Approved,Timothy Myles,,2155 Wylie Avenue,Central Business District,Pittsburgh,PA,15219,40.445881,-79.977576,14381,R-10455
Point,Drinking Establishment Type II,Approved,PV & Sons Inc.,Stinky's Bar & Grill,4901 Hatfield Street,Central Business District,Pittsburgh,PA,15201,40.477698,-79.957782,56015,R-4919
Point,Drinking Establishment Type I,Approved,Brewers Hotel Inc.,,3315 Liberty Avenue,Central Business District,Pittsburgh,PA,15201,40.461492,-79.967825,7069,H-04084
Point,Drinking Establishment Type I,Approved,Mag Pit LP,Cheerleaders,3100 Liberty Avenue,Central Business District,Pittsburgh,PA,15201,40.458824,-79.970735,59695,R-9778
Point,Drinking Establishment Type I,Approved,"HUGGY'S, INC.",Higgy's Corner,3823-25 Penn Avenue,Central Lawrenceville,Pittsburgh,PA,15201,40.46474,-79.960616,27061,R-01548
Point,Tobacco Shop,Approved,The Cigar Den,The Cigar Den,5268 Butler Street,Central Lawrenceville,Pittsburgh,PA,15201,40.481878,-79.952564,,
Point,Drinking Establishment Type I,Approved,"Joel-Rob Bar, Inc.",31 Street Pub,3103 Penn Avenue,Central Lawrenceville,Pittsburgh,PA,15201,40.460102,-79.971443,10520,R-02462
Point,Drinking Establishment Type II,Approved,"AAT Enterprises, Inc.",,5121 Butler Street,Central North Side,Pittsburgh,PA,15201,40.479007,-79.955532,57245,R-12651
Point,Drinking Establishment Type I,Approved,"Lumanef Enterprises, LLC",,5115 Butler Street,Central North Side,Pittsburgh,PA,15201,40.478871,-79.955666,50649,R-06117
Point,Drinking Establishment Type I,Approved,"CONLEYS BAR, INC.",Pattis Place,5245 Butler Street,Central Oakland,Pittsburgh,PA,15201,40.481505,-79.953983,55836,R-14932
Point,Drinking Establishment Type I,Approved,"P.B. ARSENAL, INC.",Arsenal Lanes,212 44th Street,Central Oakland,Pittsburgh,PA,15201,40.471221,-79.959789,34562,R-00481
Point,Drinking Establishment Type I,Approved,"Collco Restaurant, Inc.",Kelly's Korner,285 45th Street,Central Oakland,Pittsburgh,PA,15201,40.470662,-79.956909,44014,R-02194
Point,Drinking Establishment Type I,Approved,"CANDLELIGHT LOUNGE, INC.",Candlelight Lounge,146 44th Street,Central Oakland,Pittsburgh,PA,15201,40.472509,-79.961687,33158,R-01855
Point,Drinking Establishment Type I,Approved,"Mich-Lar, Inc.",Ozz Bar & Grille,1882 Main Street,Chartiers City,Pittsburgh,PA,15215,40.49426,-79.91822,68272,R-3508
Point,Drinking Establishment Type I,Approved,"Taboo Nightclub, LLC",Taboo,8023 Bennett Street,Crafton Heights,Pittsburgh,PA,15221,40.454608,-79.883573,64066,R-6663
Point,Tobacco Shop,Approved,"Busch/Kearn, Inc.",Puff Discount Tobacco Store #1,234 Yost Boulevard,Crawford Roberts,Pittsburgh,PA,15221,40.415248,-79.855006,,
Point,Drinking Establishment Type I,Approved,Lee Tuck Inc.,,1345 Steuben Street,Crawford Roberts,Pittsburgh,PA,15220,40.442509,-80.051284,12698,R-07361
Point,Drinking Establishment Type I,Approved,"Tramps West End, Inc.","Tramps West End, Inc.",412 Greentree Road,Crawford Roberts,Pittsburgh,PA,15220,40.435672,-80.034093,67975,R-07827
Point,Drinking Establishment Type I,Approved,"Geolas, Inc.",,408 South Main Street,Duquesne Heights,Pittsburgh,PA,15220,40.441693,-80.033245,46919,R-04129
Point,Drinking Establishment Type I,Approved,"Tju Dgt, Inc.",Lorenz Cafe,718 Lorenz Avenue,East Allegheny,Pittsburgh,PA,15220,40.444766,-80.039711,57302,R-06150
Point,Drinking Establishment Type I,Approved,Three Rivers Food Group LLC,Yesterday's,501 Greenfield Avenue,East Allegheny,Pittsburgh,PA,15207,40.425745,-79.942406,63347,R-08763
Point,Drinking Establishment Type I,Approved,"PPROV, Inc.",Zano's Pub House,3806 Acorn Street,East Allegheny,Pittsburgh,PA,15207,40.426414,-79.950043,68168,R-8968
Point,Drinking Establishment Type I,Approved,Emma G. Chope & Edward M. Chope,Win Green Bar & Grill,601 Greenfield Avenue,East Liberty,Pittsburgh,PA,15207,40.426382,-79.939642,61513,R-8751
Point,Drinking Establishment Type I,Approved,"EDWARD J. TUSH, JR.",,675 Glass Run Road,Elliot,Pittsburgh,PA,15236,40.390166,-79.943379,14305,R-10294
Point,Drinking Establishment Type I,Approved,"1413 CATHELL, INC.",,1413 Cathell Road,Esplen,Pittsburgh,PA,15236,40.384971,-79.950005,16237,R-13608
Point,Drinking Establishment Type I,Approved,"Rhodes New Channel Programs, Inc.",,195-201 Hazelwood Avenue,Greenfield,Pittsburgh,PA,15202,40.512753,-80.103987,20768,R-20088
Point,Drinking Establishment Type I,Approved,"Lytle Cafe, Inc.",,5040 Lytle Street,Greenfield,Pittsburgh,PA,15207,40.406794,-79.945627,46845,R-12466
Point,Drinking Establishment Type I,Approved,"Brandon Gandy, Inc.",Lady Di's,7904-06 Frankstown Avenue,Greenfield,Pittsburgh,PA,15221,40.454916,-79.88561,51215,R-16623
Point,Drinking Establishment Type I,Approved,"The New Jug, Inc.",The New Jug,1504 Lincoln Avenue,Greenfield,Pittsburgh,PA,15206,40.46863,-79.895648,34338,R-12493
Point,Drinking Establishment Type II,Approved,"7082 Lemington Avenue, Inc.",,7082 Lemington Avenue,Hays,Pittsburgh,PA,15206,40.46913,-79.896713,39584,R-16652
Point,Drinking Establishment Type I,Approved,"Leiserv, LLC",Brunswick Playmor Bowl,5840 Buttermilk Hollow Road,Hazelwood,Pittsburgh,PA,15207,40.364255,-79.908663,31405,R-12254
Point,Drinking Establishment Type I,Approved,"GRK Enterprises, LLC.",Tom & Tud's,353 Freeport Road,Hazelwood,Pittsburgh,PA,15215,40.489068,-79.901373,55411,R-05445
Point,Drinking Establishment Type I,Approved,Johnson's Tavern,Fred's Pub,7300 Lemington Avenue,Homewood North,Pittsburgh,PA,15235,40.467124,-79.890092,42740,R-8746
Point,Drinking Establishment Type I,Approved,"Universal Joint, Inc.",Universal Joint,2310 Main Street,Homewood North,Pittsburgh,PA,15235,40.468512,-79.790911,57816,R-08505
Point,Drinking Establishment Type I,Approved,"BOB'S GARAGE, INC.",,1372 Freeport Road,Homewood North,Pittsburgh,PA,15238,40.489589,-79.872363,20152,R-19326
Point,Drinking Establishment Type II,Approved,"THE BAJA RESTAURANT, INC.",Baja Bar,1366 Old Freeport Road,Homewood North,Pittsburgh,PA,15238,40.486365,-79.872736,54510,R-19445
Point,Drinking Establishment Type I,Approved,Stanley Dudukovich & Richard Vuckan,Duke's Tavern,1207 Allegheny Avenue,Homewood North,Pittsburgh,PA,15233,40.453846,-80.019826,16796,R-14533
Point,Drinking Establishment Type I,Approved,"Riggs Lounge, Incorporated",,1204-08 Brighton Road,Homewood South,Pittsburgh,PA,15233,40.454792,-80.014578,23736,R-05069
Point,Drinking Establishment Type I,Approved,Sonny's Place,,307 Shiloh Street,Homewood South,Pittsburgh,PA,15211,40.429022,-80.007182,12056,R-5953
Point,Drinking Establishment Type I,Approved,"Tedolas, LTD.",Cafe Nikos,212-214-216 Shiloh Street,Homewood West,Pittsburgh,PA,15211,40.430375,-80.007608,47981,R-12492
Point,Drinking Establishment Type I,Approved,"Dude's Place, Inc.",Dude's Place,205 Boggs Avenue,Knoxville,Pittsburgh,PA,15211,40.426077,-80.007605,50121,R-06680
Point,Drinking Establishment Type I,Approved,"Chief's Cafe, Inc.",,305-307 North Craig Street,Lincoln Lemington Belmar,Pittsburgh,PA,15213,40.452056,-79.952299,32793,R-09630
Point,Drinking Establishment Type II,Approved,"D. T. D., Inc.",Mitchell's Tavern & Restaurant,4632 Centre Avenue,Lincoln Lemington Belmar,Pittsburgh,PA,15213,40.452067,-79.950553,15398,R-12217
Point,Drinking Establishment Type I,Approved,"RV Alvino Morewood, Inc.",The Cricket Lounge,280 Morewood Avenue,Lincoln Lemington Belmar,Pittsburgh,PA,15213,40.454487,-79.945027,53010,R-1865
Point,Drinking Establishment Type I,Approved,South Side Sin City Inc.,,219 Atwood Street,Lincoln Lemington Belmar,Pittsburgh,PA,15213,40.440753,-79.956831,56285,R-07110
Point,Drinking Establishment Type I,Approved,"Ney Enterprises, Inc.",Gene's Place,3616 Louisa Street,Lincoln Place,Pittsburgh,PA,15213,40.439423,-79.956095,53912,R-16488
Point,Drinking Establishment Type I,Approved,"PIV-CON, Inc.",,403-409 Semple Street,Lincoln Place,Pittsburgh,PA,15213,40.436894,-79.954697,45668,R-12410
Point,Tobacco Shop,Approved,Daoud & Mansour Company LLC,Mint Hookah Bar & Lounge,416 Semple St,Lincoln Place,Pittsburgh,PA,15213,40.4366,-79.954629,,
Point,Drinking Establishment Type I,Approved,Johnson's Tavern,Stanley's Lounge,7403 Frankstown Avenue,Lincoln Place,Pittsburgh,PA,15208,40.456567,-79.891545,42739,R-9914
Point,Drinking Establishment Type I,Approved,"GDH, Inc.",,553 Brushton Avenue,Lower Lawrenceville,Pittsburgh,PA,15208,40.45154,-79.890158,15447,R-12296
Point,Drinking Establishment Type I,Approved,"Cliff's Bar, Inc.",,1417 North Lang Avenue,Lower Lawrenceville,Pittsburgh,PA,15208,40.462659,-79.897561,17504,R-15672
Point,Drinking Establishment Type I,Approved,"Rosing, Inc.",Rosing Lounge,7217 Frankstown Avenue,Lower Lawrenceville,Pittsburgh,PA,15208,40.457444,-79.895374,26565,R-06961
Point,Drinking Establishment Type I,Approved,"Denise & Earl's, Inc.",,7709 Frankstown Avenue,Lower Lawrenceville,Pittsburgh,PA,15208,40.455633,-79.887641,51007,R-12473
Point,Drinking Establishment Type I,Approved,"Pressley 6957, Inc.",,6957 Hamilton Avenue,Lower Lawrenceville,Pittsburgh,PA,15208,40.455848,-79.902286,14875,R-11322
Point,Drinking Establishment Type I,Approved,"Big D Restaurants, LLC",Galaxy Entertainment Center,7246 Kelly Street,Marshall-Shadeland,Pittsburgh,PA,15208,40.454875,-79.895393,63180,R-07831
Point,Drinking Establishment Type I,Approved,"Samas, Inc.",Roadrunners,2401-03 Saw Mill Run Boulevard,Marshall-Shadeland,Pittsburgh,PA,15234,40.384984,-79.994842,66222,R-01515
Point,Drinking Establishment Type II,Approved,"Royal Place, Inc.",Royal Place,2660 Library Road,Marshall-Shadeland,Pittsburgh,PA,15234,40.379353,-80.001603,27117,R-09831
Point,Drinking Establishment Type I,Approved,"Highland Bar, Inc.",Highland Bar,517-519 Perrysville Avenue,Marshall-Shadeland,Pittsburgh,PA,15229,40.509723,-80.028327,27006,R-12237
Point,Drinking Establishment Type I,Approved,"Hilltoppers Pub, Inc.",,1700 Lowrie Street,Middle Hill,Pittsburgh,PA,15212,40.463935,-79.98267,51692,R-03732
Point,Drinking Establishment Type I,Approved,"A.H. Health Claim Services, Inc.",,1535-37 Lowrie Street,Middle Hill,Pittsburgh,PA,15212,40.462,-79.983876,28652,R-02116
Point,Drinking Establishment Type I,Approved,"Pat & Tammy, Inc.",,3891 Brighton Road,Middle Hill,Pittsburgh,PA,15212,40.486749,-80.037346,50340,R-10692
Point,Drinking Establishment Type II,Approved,"CRR RYAN, INC.",,3853 California Avenue,Middle Hill,Pittsburgh,PA,15212,40.485113,-80.041696,58526,R-15622
Point,Drinking Establishment Type I,Approved,"Jimmy Zs Place, LTD.",Jimmy Zs Place,3889 Brighton Road,Middle Hill,Pittsburgh,PA,15212,40.486703,-80.037181,58144,R-06930
Point,Drinking Establishment Type I,Approved,"RUMERZ, LLC.",,1216 Woods Run Avenue,Mount Washington,Pittsburgh,PA,15212,40.476569,-80.030617,52387,R-03378
Point,Drinking Establishment Type I,Approved,"S.L.A.M., Inc.",,3224-3226 Brighton Road,Mount Washington,Pittsburgh,PA,15212,40.476002,-80.031257,39887,R-09662
Point,Drinking Establishment Type I,Approved,"3184 McClure, Inc.",Mr. Jack's Neighborhood,3184 McClure Avenue,Mount Washington,Pittsburgh,PA,15212,40.473773,-80.034957,42353,R-07596
Point,Drinking Establishment Type I,Approved,"MHN Investments, LLC.",,3000 Shadeland Avenue,North Oakland,Pittsburgh,PA,15212,40.47168,-80.030552,62987,R-08727
Point,Drinking Establishment Type I,Approved,"Redneck Princess, LLC.",Krista's Cantina,2650 California Avenue,North Oakland,Pittsburgh,PA,15212,40.467073,-80.034415,62994,R-02165
Point,Drinking Establishment Type I,Approved,"Brandys, Inc.",Darbeas Tavern,1962 Lowrie Street,North Oakland,Pittsburgh,PA,15212,40.467528,-79.980261,59491,R-12637
Point,Drinking Establishment Type I,Approved,"Wintergarden Inn, Inc.",The Recovery Room,627 East North Avenue,North Shore,Pittsburgh,PA,15212,40.456737,-79.998887,27330,R-05127
Point,Drinking Establishment Type I,Approved,"DOUBLE R CAFE, INC.",DOUBLE R CAFE,709 East Street,Oakwood,Pittsburgh,PA,15212,40.454435,-79.998233,54059,R-12212
Point,Drinking Establishment Type I,Approved,"Forlin, Inc.",Key West Lounge,719 East Street,Overbrook,Pittsburgh,PA,15212,40.454658,-79.998211,33648,R-02527
Point,Drinking Establishment Type I,Approved,Verdetto's Bar and Restaurant LLC,Verdetto's Bar and Restaurant LLC,814 Madison Avenue - First Floor,Overbrook,Pittsburgh,PA,15212,40.27038,-79.661629,66883,R-03000
Point,Drinking Establishment Type I,Approved,"Ginger One, Inc.",Tammy's Place,1354-56 Goettman Street,Polish Hill,Pittsburgh,PA,15212,40.459608,-79.986331,57584,R-02028
Point,Drinking Establishment Type I,Approved,"Alexiades, Inc.",,408-410 East Ohio Street,Polish Hill,Pittsburgh,PA,15212,40.45349,-80.001221,50114,R-13317
Point,Drinking Establishment Type I,Approved,"JWR, Inc.",JR's Bar,520 East Ohio Street,Polish Hill,Pittsburgh,PA,15212,40.453693,-79.999989,61061,R-7678
Point,Drinking Establishment Type I,Approved,"PIPA Group, LLC",Clark Bar & Grill,503 Martindale Street,Regent Square,Pittsburgh,PA,15212,40.448988,-80.008871,61293,R-4105
Point,Drinking Establishment Type I,Approved,"Finski, Inc.",,5440-42 Walnut Street,Shadyside,Pittsburgh,PA,15232,40.450891,-79.933886,65078,R-14504
Point,Drinking Establishment Type I,Approved,"RMDS, Inc.",,5801 Ellsworth Avenue,Shadyside,Pittsburgh,PA,15232,40.456437,-79.930777,54389,R-06723
Point,Drinking Establishment Type I,Approved,"LE MARDI GRAS, INC.",Le Mardi Gras,731 Copeland Street,Sheraden,Pittsburgh,PA,15232,40.45127,-79.934553,12395,R-06774
Point,Drinking Establishment Type I,Approved,"EDWARD FREEDOM SMITH, INC.",Smitty's,3106-08 Chartiers Avenue,South Oakland,Pittsburgh,PA,15204,40.453782,-80.061321,14656,R-10953
Point,Drinking Establishment Type I,Approved,"Norwicki Beverage, Inc.",Garvey's,41 Sterling Street,South Shore,Pittsburgh,PA,15203,40.423062,-79.974009,48978,R-16657
Point,Tobacco Shop,Approved,Head Up On Wood,Sahara Hookah Nights,1205 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428941,-79.985852,,
Point,Drinking Establishment Type I,Approved,"153 South 18th Street, Inc.",Rusty Barrell Saloon,153 South 18th Street,South Side Flats,Pittsburgh,PA,15203,40.42616,-79.98063,69302,R-10478
Point,Tobacco Shop,Approved,"Bloom Cigar Co., Inc.","Bloom Cigar Co.,Inc.",52-54 South 12th Street,South Side Flats,Pittsburgh,PA,15203,40.428993,-79.986638,,
Point,Tobacco Shop,Approved,Hookah Lounge,Ijaz Khokhar,1001 East Carson Street Side door,South Side Flats,Pittsburgh,PA,15203,40.429303,-79.972424,,
Point,Drinking Establishment Type I,Approved,JCK Tavern Inc,,132 South 24th Street,South Side Flats,Pittsburgh,PA,15203,40.426338,-79.971936,46010,R-7809
Point,Drinking Establishment Type I,Approved,Brewski's Inc.,Brewski's,801 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428858,-79.990906,15863,R-12981
Point,Drinking Establishment Type I,Approved,Bar at 1109 Inc.,Tad's on East Carson,1109 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428936,-79.987071,61678,R-7902
Point,Drinking Establishment Type I,Approved,"1117 E. Carson Street, Inc.",Jack's Rose Bar,60 South 12th Street and 1117-23 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428747,-79.986411,67134,R-01749
Point,Drinking Establishment Type I,Approved,Kopy's Limited,Kopy's Bar,80 South 12th Street,South Side Flats,Pittsburgh,PA,15203,40.428097,-79.986718,14446,R-10576
Point,Drinking Establishment Type I,Approved,"P TOWN, INC.",P Town,4740 Baum Boulevard,South Side Flats,Pittsburgh,PA,15203,40.453919,-79.948795,56709,R-14396
Point,Drinking Establishment Type I,Approved,1311 Partners LLC,,1311 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428995,-79.984827,57041,R-00662
Point,Drinking Establishment Type I,Approved,"Dee's Cafe 1314-1316 East Carson Street, Inc.",Dee's Cafe,1314-1316 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428721,-79.984593,38993,R-01413
Point,Drinking Establishment Type I,Approved,"JFB Hospitality, Inc.",Carson City Saloon,1401 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428974,-79.984006,55750,R-09794
Point,Drinking Establishment Type I,Approved,"CAYLA 2, Inc.",Finn MacCools,1501 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.42908,-79.983282,59451,R-03728
Point,Drinking Establishment Type II,Approved,"Tri Entertainment, Inc.",Mario's,1510-14 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428681,-79.983021,58244,R-11430
Point,Drinking Establishment Type I,Approved,"Ocean Breeze SC, Inc.",Jekyl & Hyde,140 South 18th Street,South Side Flats,Pittsburgh,PA,15203,40.426576,-79.980984,55103,R-16569
Point,Drinking Establishment Type I,Approved,"Tiki Lounge, Inc.",,2003 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428766,-79.97737,47377,R-10447
Point,Drinking Establishment Type I,Approved,"Tiftam, Inc.",Walker's Pub,2024 Sarah Street,South Side Flats,Pittsburgh,PA,15203,40.427375,-79.976736,38566,H-38566
Point,Drinking Establishment Type I,Approved,Red & Irene's Tavern,Red & Irene's Tavern,136 South 20th Street,South Side Flats,Pittsburgh,PA,15203,40.426668,-79.978012,11568,R-04763
Point,Drinking Establishment Type I,Approved,"Excuses Unlimited, Inc.",Excuses Bar & Grill,2526 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.427256,-79.968747,12978,R-07900
Point,Drinking Establishment Type I,Approved,"S & S Entertainment, Inc.",,2204 East Carson Street,South Side Flats,Pittsburgh,PA,15203,40.428184,-79.974325,38207,R-02890
Point,Drinking Establishment Type I,Approved,"The Pittsburgh Rugby Association, Inc.",Ruggers Club,40 South 22nd Street,South Side Flats,Pittsburgh,PA,15203,40.430121,-79.97456,47330,R-06440
Point,Drinking Establishment Type I,Approved,"Birmingham Bridge Brewing, Inc.",Birmingham Bridge Brewiing & Tavern,2901 Sarah Street,South Side Slopes,Pittsburgh,PA,15203,40.424535,-79.964549,52122,R-2863
Point,Drinking Establishment Type I,Approved,"Gaelic 17, Inc.",Squirrel Hill Sports Bar,5832 Forward Avenue,South Side Slopes,Pittsburgh,PA,15217,40.429328,-79.922381,64998,R-10917
Point,Drinking Establishment Type I,Approved,"RPO Barfly, Inc.",Squirrel Hill Cafe,5802 Forbes Avenue,Squirrel Hill North,Pittsburgh,PA,15217,40.437866,-79.922671,53307,R-01272
Point,Drinking Establishment Type I,Approved,Seandale Corporation,Dale's II,4377 Murray Avenue,Squirrel Hill South,Pittsburgh,PA,15217,40.419897,-79.928004,26708,R-14354
Point,Drinking Establishment Type I,Approved,M & J Restaurant,Stretch's,750 East Warrington Avenue,Strip District,Pittsburgh,PA,15210,40.421595,-79.99387,66431,R-12286
Point,Drinking Establishment Type I,Approved,"Grinch Properties, Inc.",Whoville's,2036 1/2 Brownsville Road,Strip District,Pittsburgh,PA,15210,40.39381,-79.986747,57906,R-05735
Point,Drinking Establishment Type I,Approved,"Red's Ringside Cafe, Inc.",Red's Ringside Cafe,304 East Warrington Avenue,Strip District,Pittsburgh,PA,15210,40.420824,-80.002076,27493,R-10390
Point,Drinking Establishment Type I,Approved,MT Oliver Mens Group Inc,Ralph's Bar,1 Amanda Avenue,Strip District,Pittsburgh,PA,15210,40.418388,-79.988571,66236,R-8393
Point,Drinking Establishment Type I,Approved,"MAXWELL'S PUB, INC.",,2021 Penn Avenue,Strip District,Pittsburgh,PA,15210,40.411412,-79.989581,39780,R-11103
Point,Drinking Establishment Type I,Approved,"Triple S Tavern, Inc.",,965 Liberty Avenue,Swisshelm Park,Pittsburgh,PA,15210,40.407216,-79.992233,47852,R-04092
Point,Drinking Establishment Type I,Approved,"Nobles Corner Bar, Inc",,2221 Brownsville Road,Troy Hill,Pittsburgh,PA,15210,40.396321,-79.997044,70018,R-12933
Point,Drinking Establishment Type I,Approved,"1128 Brownsville Road, Inc.",,1128 Brownsville Road,Troy Hill,Pittsburgh,PA,15210,40.404606,-79.990753,38882,R-08812
Point,Drinking Establishment Type I,Approved,"Eggerton Enterprises, Inc.",,1613 Brownsville Road,Troy Hill,Pittsburgh,PA,15210,40.39938,-79.988784,54082,R-10060
Point,Drinking Establishment Type I,Approved,"Arfran, Inc.",Sophie's Saloon,1918 Brownsville Road,Troy Hill,Pittsburgh,PA,15210,40.395346,-79.98723,10416,R-02245
